NO,TITLE,REFRENCE NO. ,DATE,URL LINK,Keyword/s,Category,Responsible Office
1350,Conduct of Hearing by the Sangguniang Panlungsod on Administrative Case Filed Against Barangay Official,LO-001S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO001S2009.pdf,Administrative Case Filed Against Barangay Official,3 TERM-LIMIT RULE,
1349,Determining the representation of the Liga in the Sanggunians.,LO-002S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO002S2009.pdf, representation of the Liga in the Sanggunians,ADMINISTRATIVE INVESTIGATION PROCESS (LOCAL OFFICIALS),
1348,The review power of the Sangguniang Panlalawigan over a resolutions passed by the Sangguniang Panlungsod.,LO-003S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO006S2009.pdf,review power of the Sangguniang Panlalawigan,APPROPRIATION/FUNDS/BUDGET MATTERS,
1347,Section 329 of RA 7160 that mandates ten percent (10%) of the general fund of the Barangay shall be set aside for the Sangguniang kabataan.,LO-004S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO004S2009.pdf,Section 329 of RA 7160,AUTHORITY TO ADMINISTER OATHS,
1346,Clarificatory letter to remove confusion and resolve the conflicts made by the former MLGOO in relation to the Qou Warranto case which is still pending.,LO-005S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO005S2009.pdf,Qou Warranto case,BARANGAY MATTERS,
1345,"The fundamental principles regarding the financial affairs, transactions and operations of local government units",LO-006S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO006S2009.pdf,undamental principles,GOVERNMENT,
1344,Clarification on the legal issue involved relative to the establishment of a gas refilling station,LO-007S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO007S2009.pdf,gas refilling station,,
1343,The benefits of Barangay officials and and the privileges of Sangguniangkabataan officials,LO-008S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO008S2009.pdf,the privileges ,,
1342,Power of Sanggunian Bayan over the classification/reclassification of the lands of the public domain,LO-009S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO009S2009.pdf,Power of Sanggunian Bayan,,
1341,The proper application of the Internal Rules of Procedure (IRP) of the Sanggunian,LO-010S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO010S2009.pdf, Internal Rules of Procedure,,
1340,Authority of the Sangguniang Kabataan Federation or the Sangguniang Barangay to discipline a SK Chairman,LO-011S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO011S2009.pdf, discipline a SK Chairman,CONFLICT OF INTEREST,
1339,The validity of the resolution passed by the Sanggunian Bayan imposing unto a Punong Barangay a 60-day preventive suspension.,LO-012S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO012S2009.pdf,60-day preventive suspension.,CONVERSION MERGER/CREATION OF LGU,
1338,Whether the present Regional Peace and Order Council (RPOC) Chairperson can still act as such in a hold-over capacity pending appointment by the SILG of a new RPOC Chairperson.,LO-013S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO013S2009.pdf,new RPOC Chairperson,,
1337,Relevance of MC no.151 in filling up of vacant positions in the Sangguniang Panlungsod of a component city,LO-014S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO014S2009.pdf,MC no.151,ELECTIVE/APPOINTIVE LOCAL OFFICIALS,
1336,"Administrative Order no.233 "" Reiterating the prohibition on the Acquisition and use of Luxury Vehicles and Directing Revisions of Guidelines on Government Motor Vehicles Acquisition""",LO-015S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO015S2009.pdf,Administrative Order no.233,EXECUTION/IMPLEMENTATION OF DECISION OF OMBUDSMAN/COMELEC,
1335,Review of component city and municipal ordinances or resolutions by the Sangguniang Panlalawigan,LO-016S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO016S2009.pdf,Review of component city , FAILURE OF SANGGUNIAN TO PASS AN APPROPRIATION ORDINANCE,
1334,"Barangay Secretary: appointment qualifications, power and duties.",LO-017S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO017S2009.pdf,Barangay Secretary,FRANCHISES,
1333,"Matter of election of a certain Elpidio barroga as a member of the Sangguniang barangay of Poblacion, Sto. Tomas, La Union.",LO-018S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO018S2009.pdf,"Sangguniang barangay of Poblacion, Sto. Tomas, La Union.", INDIGENOUS PEOPLE (REPRESENTATIVE TO SANGGUNIAN),
1332,"City Ordinance no.02 s.2008 "" An ordinance Regulating the Establishment, Classification, Administration and Operation of Government Owned/Operated Public Markets in the Local Government of Gapan otherwise known as the Market Code of Gapan""",LO-019S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO019S2009.pdf,City Ordinance no.02 s.2008 ,INTERNAL RULES & PROCEDURES OF THE SANGGUNIAN,
1331,Whether the actuations of an elective officials are considered interference in the internal affairs of Water District,LO-020S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO020S2009.pdf,internal affairs of Water District,IRA/DEV'T FUND,
1330,"Reconsideration and Reversal of Opinion No. 92, s.2008",LO-021S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO021S2009.pdf,"Reversal of Opinion No. 92, s.2008", LEAGUES/LIGA NG MGA BARANGAY,
1329,Dual functions of the sanggunian,LO-022S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO022S2009.pdf,"Opinion No. 92, s.2008",LGU'S CORPORATE POWERS,
1328,The term of office of all barangay and sangguniang kabataan officials,LO-023S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO023S2009.pdf,Dual functions,LIABILITY OF A BARANGAY OFFICIAL AFFILIATED TO A POLITICAL PARTY,
1327,Administrative Appeals and Execution Pending Appeal,LO-024S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO024S2009.pdf, term of office,LICENSE/MAYOR'S PERMIT,
1326,Irrevocable resignation,LO-025S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO025S2009.pdf,Execution Pending Appeal, LOCAL LEGISLATION,
1325,Successive absences during the regular sessions of the Sangguniang Barangay Members,LO-026S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO026S2009.pdf,Irrevocable resignation,"LOCAL OFFICIALS POWER, AUTHORITY FUNCTION & COMPENSATION",
1324,Responsibility for proper use and care of government property,LO-027S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO027S2009.pdf,Successive absences,LONGEVITY PAY,
1323,Reenactment of item/s in the annual appropriations ordinanace,LO-028S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO028S2009.pdf,proper use and care,MUNICIPAL DEVELOPMENT PLAN,
1322,The term of office of elective local officials,LO-029S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO029S2009.pdf,office of elective local officials,OSCA MATTERS,
1321,Validity of compliance of the Golden Isle Development Corporation to obtain an ECC from DENR,LO-030S2009,29/08/2010,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO030S2009.pdf, ECC from DENR,PRACTICE OF PROFESSION,
1320,LO-012S2007,LO-012S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO012S2007.pdf,LO-012S2007,RESIGNATION OF LOCAL OFFICIAL,
1319,LO-067S2007,LO-067S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO067S2007.pdf,LO-067S2007,SESSIONS,
1318,LO-024S2009,LO-024S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO024S2009.pdf,LO-024S2009,STATE OF CALAMITY,
1317,LO-020S2005,LO-020S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO020S2005.pdf,LO-020S2005,TAX/COLLECTION OF REVENUES,
1316,LO-030S2006,LO-030S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO030S2006.pdf,LO-030S2006,VACANCY/SUCCESSION/ASSUMPTION,
1315,LO-018S2006,LO-018S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO018S2006.pdf,LO-018S2006,VALIDITY OF AN ORDINANCE/RESOLUTION,
1314,LO-011S2006,LO-011S2006,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO011S2006.pdf,LO-011S2006,VETO POWER,
1313,LO-102S2007,LO-102S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO102S2007.pdf,LO-102S2007,SPECIAL EDUCATION FUND,
1312,LO-103S2007,LO-103S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO103S2007.pdf,LO-103S2007,BENEFITS OF BARANGAY OFFICIALS,
1311,LO-001S2008,LO-001S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO001S2008.pdf,LO-001S2008,PROVINCIAL DEVELOPMENT COUNCIL,
1310,LO-009S2008,LO-009S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO009S2008.pdf,LO-009S2008,IMPLEMENTATION OF A PRESIDENTIAL DIRECTIVE,
1309,LO-012S2008,LO-012S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO012S2008.pdf,LO-012S2008,ISSUANCE OF TRAVEL ORDERS,
1308,LO-018S2007,LO-018S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO018S2007.pdf,LO-018S2007,APPOINTIVE BARANGAY OFFICIALS,
1307,LO-030S2008,LO-030S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO030S2008.pdf,LO-030S2008,SUSPENSION OF LOCAL ELECTIVE OFFICIALS,
1306,LO-054S2008,LO-054S2008,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO054S2008.pdf,LO-054S2008,SANGGUNIAN STANDING COMMITTEES,
1305,LO-093S2007,LO-093S2007,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO093S2007.pdf,LO-093S2007,QUORUM,
1304,LO-028S2009,LO-028S2009,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO028S2009.pdf,LO-028S2009,OFFICIALS/EMPLOYEES OF THE SANGGUNIANG BAYAN,
1303,LO-037S2005,LO-037S2005,01/01/2009,https://dilg.gov.ph/PDF_File/issuances/legal_opinions/LO037S2005.pdf,LO-037S2005,REGULAR OFFICE HOURS OF ELECTIVE OFFICIALS,
