NO,TITLE,REFERENCE NO,DATE,URL,RESPONSIBLE OFFICE,Keyword/s,,,,,,,,,,,,,,,,,,,
107,DILG-DTI: Guidelines in Implementing the Standards in Processing Business Permits and Licenses in All Cities and Municipalities,JMC01-S2010,13/09/2010,https://dilg.gov.ph/issuances/jc/DILG-DTI-Guidelines-in-Implementing-the-Standards-in-Processing-Business-Permits-and-Licenses-in-All-Cities-and-Municipalities/3,"DILG Regional & Provincial Directors, DTI, BFP, and All Members of Sangguniang Panglunsod at Pambayan",Standards in Processing Business Permits and Licenses,,,,,,,,,,,,,,,,,,,
106,"Guidelines in the Imposition of an ""Additional Ad Valorem Tax on Idle Lands"" and Other Related Provisions of the Local Government Code (LGC) of 1991, by Provinces, Cities and Municipality Within Metro Manila Area",JMC2010-002,27/10/2010,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-20101027-8695fc59c5.pdf,"All Provincial Governors, City and Municipal Mayors, Provincial, City and Municipal Treasurers and Assessors, Regional Directors of the Bureau of Government Finance and DILG and Others Concerned","""Additional Ad Valorem Tax on Idle Lands",,,,,,,,,,,,,,,,,,,
105,"DILG-DOF: Enjoining All Provinces, Cities and the Municipality of Pateros, Metro Manila to Prepare the Schedule of Market Values (SMVs) of Real Property and to Conduct the General Revision of Property Assessments in their Respective Jurisdictions",JMC2010-001,28/10/2010,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-20101028-733a7bd181.pdf,"All Provincial Governors, City Mayors, Municipal Mayor of Pateros, Presiding Officers and Members of the Sangguniang Panlalawigan/Panlungsod, Presiding Officer and Members of the Sangguniang Bayan of Pateros, DILG and DOF-BLGF Regional Directors, and All",DILg DOF,,,,,,,,,,,,,,,,,,,
104,"Amending DILG-DBM Joint Memorandum Circular No. 1, dated September 20, 2005, entitled, ""Guidelines on the Appropriation and Utilization of the 20% of the Annual Internal Revenue Allotment for Development Projects"" and DILG Memorandum Circular No. 2010-138",JMC2011-1,14/04/2011,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2011414-c7a40511f3.pdf,"All Provincial Governors, City and Municipal Mayors, Presiding Officers and Members of the Sanggunians, Punong Barangays and All Others Concerned",Amending DILG-DBM Joint Memorandum Circular,,,,,,,,,,,,,,,,,,,
103,DILG-DTI: Formulation of Local Investment and Incentives Code (LIIC),JMC2011-01,24/10/2011,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-20111024-8003d265f5.pdf,"All Provincial Governors, City/Municipal Mayors, Presiding Officers of the Sangguniang Panlalawigan/Panlungsod/Bayan, Regional and Provincial Directors of the DILG and DTI, particilarly the Board of Investments and all others concerned",Formulation of Local Investment and Incentives Code,,,,,,,,,,,,,,,,,,,
102,DILG-DOH: Guidelines on the Implementation of Universal Heath Care or Kalusugan Pangkalahatan (UHC KP),JMC2011-01,24/10/2011,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-20111024-79fd0f2a9e.pdf,"Provinial Governors, City and Municipal Mayors",Guidelines on the Implementation of Universal Heath Care,,,,,,,,,,,,,,,,,,,
101,Policy Guidelines and Procedures in the Implementation of Bottom Up Planning and Budgeting for the FY 2013 Planning and Budget Preparation,JMC2012-001,19/03/2012,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2012319-e16ddea1fd.pdf,"Heads of Departments (DA, DAR, DENR, DEPED, DO, DOLE and DOE) and Heads of Philhealth and NEA, all MAyors and members of the Sangunian of focus Cities and Municipalities and all others concerned.",Policy Guidelines and Procedures i,,,,,,,,,,,,,,,,,,,
100,"Implementing Guidelines for Section 29 of the General Appropriations Act for FY2003 entitled ""Setting aside one percent of Government Agency Budget for Programs/Projects related to Senior Citizens and the Disabled",JC2003-01,24/09/2012,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2012924-ebd8dffa72.pdf,"All Heads of Executive Departments, Bureaus, Offices, Agencies, Commissions and State Universities abd Colleges and all others concerned",General Appropriations Act for FY2003,,,,,,,,,,,,,,,,,,,
99,Supplemental Guidelines for the Management of the PAMANA-DILG Fund,JMC 2013-001,11/01/2013,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2013111-92a3ef2968.pdf,"Regional Directors of CAR/IV-A/IV-B/V/VI/VII/VIII/IX/X/XI/XII/XIII, Governors, Municiapl/City Mayors, DILG Provincial/City Directors, CLGOOs/MLGOOs of PAMANA Fund LGUs and all others concerned",PAMANA-DILG Fund,,,,,,,,,,,,,,,,,,,
98,Allocation and Utilization of the Local Disaster Risk Reduction and Management Fund (LDRRMF),JMC2013-001,17/04/2013,https://dilg.gov.ph/PDF_File/issuances/joint_circulars/DILG-Joint_Circulars-2013417-26053e1cc9.pdf,"All Provincial Governors, City/Municipal Mayors, Punong Barangays, Members of the Sanggunian, Local Disaster Risk Reduction and Management Councils, Local Development Councils, Local Finance Committees, and all other National and Local Government Offici",Local Disaster Risk Reduction and Management Fund,,,,,,,,,,,,,,,,,,,
