NO,TITLE,REFERENCE NUMBER,RESPONSIBLE OFFICE ,DATE ,URL,KEY WORD/S
3423,"COMELEC RESOLUTION NO. 6459 PROMULGATED ON DECEMBER 10, 2003 ENTITLED ""DEPUTATION""",MC2003-236,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-236.pdf,COMELEC RESOLUTION NO. 6459
3422,PCL NATIONAL ASSEMBLY,MC2003-235,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-235.pdf,PCL NATIONAL ASSEMBLY
3421,107TH YEAR ANNIVERSARY OF THE MARTYRDOM OF DR. JOSE P. RIZAL,MC2003-234,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-234.pdf,107TH YEAR ANNIVERSARY 
3420,"DECLARATION OF PERIOD OF MOURNING OVER THE DEATH OF BLAS F. OPLE, SECRETARY OF FOREIGN AFFAIRS",MC2003-233,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-233.pdf,PERIOD OF MOURNING
3419,"DESIGNATION OF PERMANENT RECORDS OFFICERS, AND THE ADOPTION AND UTILIZATION OF A STANDARD CARPETA/PRISON JACKET OF PRISONERS CONVICTED BY FINAL JUDGMENT, AND DETENTION PRISONERS",MC2003-232,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-232.pdf,PERMANENT RECORDS OFFICERS
3418,"ACTUAL INSPECTION OF ALL REGULATED BUSINESS ESTABLISHMENTS PRIOR TO THE ISSUANCE OR RENEWAL OF THEIR PERMITS, LICENSES OR CLEARANCES",MC2003-231,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-231.pdf,INSPECTION OF ALL REGULATED BUSINESS
3417,2nd GLOBAL FILIPINO NETWORKING CONVENTION,MC2003-230,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-230.pdf,2nd GLOBAL FILIPINO NETWORKING CONVENTION
3416,PROTECTION OF INTELLECTUAL PROPERTY RIGHTS,MC2003-229,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-229.pdf,PROTECTION OF INTELLECTUAL PROPERTY RIGHTS
3415,NEDA TECHNICAL ASSISTANCE ON ENHANCING CAPABILITIES OF PROVINCES FOR EFFECTIVE PLANNING,MC2003-227,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-227.pdf,NEDA TECHNICAL ASSISTANCE
3414,"CELEBRATION OF THE 14TH NATIONAL ARTS MONTH IN FEBRUARY, 2004",MC2003-226,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-226.pdf,CELEBRATION 14TH NATIONAL ARTS MONTH
3413,OBSERVANCE OF THE NATIONAL HUMAN RIGHTS WEEK,MC2003-225,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-225.pdf,NATIONAL HUMAN RIGHTS WEEK
3412,NATIONAL CONVENTION OF THE PHILIPPINE PUBLIC HEALTH ASSOCIATION (PPHA),MC2003-224,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-225.pdf,CONVENTION PHILIPPINE PUBLIC HEALTH
3411,2003 SEARCH FOR TEN OUTSTANDING METRO MANILA CLEANLINESS AIDES,MC2003-223,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-223.pdf,2003 SEARCH METRO MANILA CLEANLINESS AIDES
3410,"REITERATING DILG MC NO. 2002-188 ON THE STRICT IMPLEMENTATION OF REPUBLIC ACT NO. 7183, TITLED: AN ACT REGULATING THE SALE, MANUFACTURE, DISTRIBUTION AND USE OF FIRECRACKERS AND OTHER PYROTECHNICS DEVICES",MC2003-222,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-222.pdf,REITERATING DILG MC NO. 2002-188
3409,"PRESCRIBING GUIDELINES FOR THE IMPLEMENTATION OF THE FIRE CODE (PD # 1185) AND DILG ACT OF 1990 (RA # 6975), AND FOR OTHER PURPOSES",MC2003-220,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-220.pdf,DILG ACT OF 1990 (RA # 6975)
3408,1ST ANNUAL METRO MANILA LOCAL LEGISLATIVE CONFERENCE,MC2003-219,,28/12/2003,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2003-219.pdf,1ST METRO MANILA LOCAL LEGISLATIVE CONFERENCE
